file_name,source_column,reference_column,bronze_column,bronze_type,bronze_nullable
application_train.csv,SK_ID_CURR,SK_ID_CURR,sk_id_curr,BIGINT,NO
application_train.csv,TARGET,TARGET,target,BOOLEAN,YES
application_train.csv,NAME_CONTRACT_TYPE,NAME_CONTRACT_TYPE,name_contract_type,VARCHAR,YES
application_train.csv,CODE_GENDER,CODE_GENDER,code_gender,VARCHAR,YES
application_train.csv,FLAG_OWN_CAR,FLAG_OWN_CAR,flag_own_car,BOOLEAN,YES
application_train.csv,FLAG_OWN_REALTY,FLAG_OWN_REALTY,flag_own_realty,BOOLEAN,YES
application_train.csv,CNT_CHILDREN,CNT_CHILDREN,cnt_children,BIGINT,YES
application_train.csv,AMT_INCOME_TOTAL,AMT_INCOME_TOTAL,amt_income_total,DOUBLE,YES
application_train.csv,AMT_CREDIT,AMT_CREDIT,amt_credit,DOUBLE,YES
application_train.csv,AMT_ANNUITY,AMT_ANNUITY,amt_annuity,DOUBLE,YES
application_train.csv,AMT_GOODS_PRICE,AMT_GOODS_PRICE,amt_goods_price,DOUBLE,YES
application_train.csv,NAME_TYPE_SUITE,NAME_TYPE_SUITE,name_type_suite,VARCHAR,YES
application_train.csv,NAME_INCOME_TYPE,NAME_INCOME_TYPE,name_income_type,VARCHAR,YES
application_train.csv,NAME_EDUCATION_TYPE,NAME_EDUCATION_TYPE,name_education_type,VARCHAR,YES
application_train.csv,NAME_FAMILY_STATUS,NAME_FAMILY_STATUS,name_family_status,VARCHAR,YES
application_train.csv,NAME_HOUSING_TYPE,NAME_HOUSING_TYPE,name_housing_type,VARCHAR,YES
application_train.csv,REGION_POPULATION_RELATIVE,REGION_POPULATION_RELATIVE,region_population_relative,DOUBLE,YES
application_train.csv,DAYS_BIRTH,DAYS_BIRTH,days_birth,BIGINT,YES
application_train.csv,DAYS_EMPLOYED,DAYS_EMPLOYED,days_employed,BIGINT,YES
application_train.csv,DAYS_REGISTRATION,DAYS_REGISTRATION,days_registration,DOUBLE,YES
application_train.csv,DAYS_ID_PUBLISH,DAYS_ID_PUBLISH,days_id_publish,BIGINT,YES
application_train.csv,OWN_CAR_AGE,OWN_CAR_AGE,own_car_age,DOUBLE,YES
application_train.csv,FLAG_MOBIL,FLAG_MOBIL,flag_mobil,BOOLEAN,YES
application_train.csv,FLAG_EMP_PHONE,FLAG_EMP_PHONE,flag_emp_phone,BOOLEAN,YES
application_train.csv,FLAG_WORK_PHONE,FLAG_WORK_PHONE,flag_work_phone,BOOLEAN,YES
