band_group,source_column,band_order,band_label,lower_bound,upper_bound,lower_inclusive,upper_inclusive,is_null_band,description
age_band,age_years,1,<25,,25,true,false,false,Age below 25 years
age_band,age_years,2,25-34,25,35,true,false,false,Age from 25 to 34 years
age_band,age_years,3,35-44,35,45,true,false,false,Age from 35 to 44 years
age_band,age_years,4,45-54,45,55,true,false,false,Age from 45 to 54 years
age_band,age_years,5,55-64,55,65,true,false,false,Age from 55 to 64 years
age_band,age_years,6,65+,65,,true,false,false,Age of 65 years or more
age_band,age_years,99,Unknown,,,false,false,true,Missing age
income_band,amt_income_total,1,<90k,,90000,true,false,false,Income below 90000
income_band,amt_income_total,2,90k-135k,90000,135000,true,false,false,Income from 90000 to 134999
income_band,amt_income_total,3,135k-180k,135000,180000,true,false,false,Income from 135000 to 179999
income_band,amt_income_total,4,180k-225k,180000,225000,true,false,false,Income from 180000 to 224999
income_band,amt_income_total,5,225k-315k,225000,315000,true,false,false,Income from 225000 to 314999
income_band,amt_income_total,6,315k+,315000,,true,false,false,Income of 315000 or more
income_band,amt_income_total,99,Unknown,,,false,false,true,Missing income
employment_tenure_band,employment_years,1,<1 year,,1,true,false,false,Employment below 1 year
employment_tenure_band,employment_years,2,1-3 years,1,3,true,false,false,Employment from 1 to less than 3 years
employment_tenure_band,employment_years,3,3-5 years,3,5,true,false,false,Employment from 3 to less than 5 years
employment_tenure_band,employment_years,4,5-10 years,5,10,true,false,false,Employment from 5 to less than 10 years
employment_tenure_band,employment_years,5,10+ years,10,,true,false,false,Employment of 10 years or more
employment_tenure_band,employment_years,99,Unknown,,,false,false,true,Missing employment tenure
score_band,ext_source_mean,1,<0.20,,0.2,true,false,false,External score mean below 0.20
score_band,ext_source_mean,2,0.20-0.39,0.2,0.4,true,false,false,External score mean from 0.20 to less than 0.40
score_band,ext_source_mean,3,0.40-0.59,0.4,0.6,true,false,false,External score mean from 0.40 to less than 0.60
score_band,ext_source_mean,4,0.60-0.79,0.6,0.8,true,false,false,External score mean from 0.60 to less than 0.80
score_band,ext_source_mean,5,0.80+,0.8,,true,false,false,External score mean of 0.80 or more
score_band,ext_source_mean,99,Unknown,,,false,false,true,Missing external score mean
annuity_income_band,annuity_income_ratio,1,Risco Baixo,,0.35,true,false,false,""
annuity_income_band,annuity_income_ratio,2,Risco Moderado,0.35,0.41,true,false,false,""
annuity_income_band,annuity_income_ratio,3,Risco Alto,0.41,0.5,true,false,false,""
annuity_income_band,annuity_income_ratio,4,Risco Muito Alto,0.5,1,true,false,false,""
annuity_income_band,annuity_income_ratio,5,Outlier,1,,true,false,false,""
annuity_income_band,annuity_income_ratio,99,Unknown,,,false,false,true,""
